26619874054 66538459@N00 Forrest of Nicene Mark Waterfall 1463905140 beautiful dressing wife 37.044322-121.900348
26921818010 66538459@N00 Serrena at beach 1463894340  36.970809-121.954464
10044591016 66538459@N00 Serrena walking down Euclid Ave 1380430560  37.875577-122.260129
9391617966 66538459@N00 Serrena at Euclid Hall 1374919500  37.876509-122.260204
9380706935 66538459@N00 _MG_9208 1374919500 berkeley student ave uc euclid coopoerative 37.876509-122.260204
9383478038 66538459@N00 Oscars 1374917640  37.873164-122.268851

9247080180 66538459@N00 Baboon Lake 1373011980  37.168698-118.624191
8915134381 66538459@N00 New Orleans 2013 1369445880  29.958842-90.064973
8915750606 66538459@N00 New Orleans 2013 1369316100  29.958842-90.064973
8915750350 66538459@N00 New Orleans 2013 1369307700  29.958842-90.064973
8915750110 66538459@N00 New Orleans 2013 1369307040  29.958842-90.064973
8915749084 66538459@N00 New Orleans 2013 1369300260 beautiful pretty gorgeous lovely 29.958842-90.064973
8915748894 66538459@N00 New Orleans 2013 1369299960 beautiful pretty gorgeous lovely 29.958842-90.064973
8915748602 66538459@N00 New Orleans 2013 1369299000  29.958842-90.064973
8915748356 66538459@N00 New Orleans 2013 1369279020  29.958842-90.064973
8915747750 66538459@N00 New Orleans 2013 1369273380  29.958842-90.064973
30261515160 66538459@N00 New Orleans 2013 1369121880  29.999476-90.093555
14013014248 66538459@N00 Serrena Marie Carter 1369038480  29.958842-90.064973
8915744346 66538459@N00 New Orleans 2013 1369038120  29.958842-90.064973
8915126387 66538459@N00 New Orleans 2013 1368959280  29.958842-90.064973
8915743004 66538459@N00 New Orleans 2013 1368956940  29.958842-90.064973
10392592195 66538459@N00 Serrena's first drink in New Orleans 1368883860  29.958842-90.064973
8915742726 66538459@N00 New Orleans 2013 1368883860  29.958842-90.064973

8598990248 66538459@N00 Wright's Beach.  Valentines Day 2013 1360931040  38.401424-123.096592
8525925471 66538459@N00 Russian River Brewery 1360841460  38.441686-122.711448

7667027312 66538459@N00 Mission Peak afternoon hike 1343474160  37.512789-121.881519
7631952206 66538459@N00 Hiking Coyote Hills 1342795740  37.512789-121.881519
7601356990 66538459@N00 Hike to Mission Peak 1342326900  37.512789-121.881519
7601353694 66538459@N00 Hike to Mission Peak 1342326420  37.512789-121.881519
7583968344 66538459@N00 Serrena at top of Mission Peak 1342326420  37.512789-121.881519

6983250576 66538459@N00 White Sands New Mexico 1334373840  40.760403-113.829345
7040063509 66538459@N00 Henry Coe State Park 1333196280 california park bay state henry area coe 37.063105-121.438039
6893965474 66538459@N00 Henry Coe State Park 1333195800 california park bay state henry area coe 37.063455-121.439398
6893964000 66538459@N00 Henry Coe State Park 1333195680 california park bay state henry area coe 37.063397-121.440187
7040057901 66538459@N00 Henry Coe State Park 1333193340 california park bay state henry area coe 37.071725-121.454673
6893959662 66538459@N00 Henry Coe State Park 1333193280 california park bay state henry area coe 37.071841-121.454851
7040054765 66538459@N00 Henry Coe State Park 1333192440 california park bay state henry area coe 37.073711-121.459048
6893955664 66538459@N00 Henry Coe State Park 1333192260 california park bay state henry area coe 37.073702-121.459056
6893947692 66538459@N00 Henry Coe State Park 1333191900 california park bay state henry area coe 37.07493-121.461753
7040042779 66538459@N00 Henry Coe State Park 1333191840 california park bay state henry area coe 37.074955-121.461867
6893944866 66538459@N00 Henry Coe State Park 1333191780 california park bay state henry area coe 37.075094-121.462278
6893942646 66538459@N00 Henry Coe State Park 1333191780 california park bay state henry area coe 37.075136-121.462406
6893941076 66538459@N00 Henry Coe State Park 1333191480 california park bay state henry area coe 37.076469-121.464825
6893940298 66538459@N00 Henry Coe State Park 1333191360 california park bay state henry area coe 37.076091-121.466073
6893939072 66538459@N00 Henry Coe State Park 1333191300 california park bay state henry area coe 37.076091-121.466478
6893937396 66538459@N00 Henry Coe State Park 1333191180 california park bay state henry area coe 37.076466-121.466898
6893935640 66538459@N00 Henry Coe State Park 1333190700 california park bay state henry area coe 37.076038-121.466381
6893935288 66538459@N00 Henry Coe State Park 1333190580 california park bay state henry area coe 37.075961-121.466475
6893932728 66538459@N00 Henry Coe State Park 1333190160 california park bay state henry area coe 37.07603-121.467037
7040028387 66538459@N00 Henry Coe State Park 1333189980 california park bay state henry area coe 37.076461-121.465234
7040026491 66538459@N00 Henry Coe State Park 1333189860 california park bay state henry area coe 37.076402-121.464681
6893928842 66538459@N00 Henry Coe State Park 1333189800 california park bay state henry area coe 37.076458-121.46495

6997428925 66538459@N00 Angel Island 1332044640  37.864908-122.432662
6997427667 66538459@N00 Angel Island 1332044580  37.864925-122.432656
6851301972 66538459@N00 Angel Island 1332044100  37.868797-122.433414
6851301042 66538459@N00 Angel Island 1332044100  37.869136-122.433181
6997424509 66538459@N00 Angel Island 1332044040  37.86943-122.432928
6851298756 66538459@N00 Angel Island 1332043800  37.871088-122.431042
6997422275 66538459@N00 Angel Island 1332043740  37.871133-122.431037
6851296636 66538459@N00 Angel Island 1332043560  37.871016-122.429348
6997419779 66538459@N00 Angel Island 1332043500  37.870616-122.428912
6851294180 66538459@N00 Angel Island 1332043440  37.870533-122.428064
6997418183 66538459@N00 Angel Island 1332043320  37.869463-122.42752
6997416677 66538459@N00 Angel Island 1332043260  37.869316-122.427403
6851290928 66538459@N00 Angel Island 1332043260  37.869125-122.427245
6997414143 66538459@N00 Angel Island 1332043260  37.868941-122.427056
6997413009 66538459@N00 Angel Island 1332042180  37.867072-122.425323
6851286528 66538459@N00 Angel Island 1332041940  37.867047-122.425309
6851285454 66538459@N00 Angel Island 1332041880  37.867033-122.425314
6997408717 66538459@N00 Angel Island 1332041700  37.867055-122.425289

6997388831 66538459@N00 Angel Island 1331996640  37.864183-122.430464
6851263056 66538459@N00 Angel Island 1331996460  37.864313-122.430528
6997387281 66538459@N00 Angel Island 1331996400  37.864363-122.430553
6997386355 66538459@N00 Angel Island 1331996160  37.864486-122.430612
6851259690 66538459@N00 Angel Island 1331996160  37.864486-122.430612
6997384899 66538459@N00 Angel Island 1331996160  37.864502-122.43062
6851259078 66538459@N00 Angel Island 1331996160  37.864513-122.430625
6997384001 66538459@N00 Angel Island 1331996100  37.864536-122.430634
6997383337 66538459@N00 Angel Island 1331996100  37.864541-122.430639
6997382529 66538459@N00 Angel Island 1331996040  37.864555-122.430645
6997381637 66538459@N00 Angel Island 1331996040  37.864558-122.430645
6997380811 66538459@N00 Angel Island 1331996040  37.864569-122.43065
6851254418 66538459@N00 Angel Island 1331996040  37.864572-122.430653
6997379151 66538459@N00 Angel Island 1331996040  37.864586-122.430659
6851252856 66538459@N00 Angel Island 1331995920  37.864647-122.430689
6997377769 66538459@N00 Angel Island 1331995860  37.864672-122.4307
6851251248 66538459@N00 Angel Island 1331995860  37.864697-122.430712
6997376371 66538459@N00 Angel Island 1331995800  37.864738-122.430734
6851250328 66538459@N00 Angel Island 1331995440  37.86493-122.430825
6851249192 66538459@N00 Angel Island 1331994600  37.865475-122.431089
6851248022 66538459@N00 Angel Island 1331985060  37.870719-122.428917
6851247044 66538459@N00 Angel Island 1331984640  37.867577-122.42547
6851246146 66538459@N00 Angel Island 1331976960  37.856972-122.43535
6851244426 66538459@N00 Angel Island 1331974920  37.870177-122.426389
6997369793 66538459@N00 Angel Island 1331974860  37.870172-122.426395
6997369127 66538459@N00 Angel Island 1331974800  37.870166-122.426403
6997368319 66538459@N00 Angel Island 1331971680  37.85655-122.44112
6997367549 66538459@N00 Angel Island 1331971260  37.858661-122.440142
6997367043 66538459@N00 Angel Island 1331971200  37.859555-122.4392
6997365765 66538459@N00 Angel Island 1331971080  37.863619-122.439403
6997364749 66538459@N00 Angel Island 1331971080  37.864736-122.439264
6997363245 66538459@N00 Angel Island 1331971080  37.865186-122.439217
6851235950 66538459@N00 Angel Island 1331970780  37.864283-122.435037
6997360805 66538459@N00 Angel Island 1331970600  37.864241-122.435048
6997359697 66538459@N00 Angel Island 1331970480  37.865075-122.43285
6997358719 66538459@N00 Angel Island 1331969880  37.866986-122.425017
6997358097 66538459@N00 Angel Island 1331969760  37.866975-122.425159
6851223750 66538459@N00 Angel Island 1331966760  37.856972-122.43535

6823382173 66538459@N00 Serrena and Ben 1328347500 ocean birthday family friends golden gate san francisco exploratorium 2012 37.810673-122.477055
6823379493 66538459@N00 Serrena 1328347500 ocean birthday family friends golden gate san francisco exploratorium 2012 37.810673-122.477055

6536218517 66538459@N00 Mystery Trip 2011 1324131540  37.807965-122.421662
6536216077 66538459@N00 Mystery Trip 2011 1324131120  37.808885-122.421083
6536214893 66538459@N00 Mystery Trip 2011 1324130520  37.808885-122.421083
6536214129 66538459@N00 Mystery Trip 2011 1324130400  37.808885-122.421083
6536212905 66538459@N00 Mystery Trip 2011 1324128840  37.80766-122.425889
6536212097 66538459@N00 Mystery Trip 2011 1324128360  37.807508-122.42617
6536210237 66538459@N00 Mystery Trip 2011 1324128360  37.807508-122.42617
6536208857 66538459@N00 Mystery Trip 2011 1324128240  37.807508-122.42617
6536207499 66538459@N00 Mystery Trip 2011 1324128180  37.807508-122.42617
6536206001 66538459@N00 Mystery Trip 2011 1324128120  37.807508-122.42617
6536204725 66538459@N00 Mystery Trip 2011 1324128000  37.807508-122.42617
6536203721 66538459@N00 Mystery Trip 2011 1324128000  37.807508-122.42617
6536202547 66538459@N00 Mystery Trip 2011 1324127520  37.807508-122.42617
6536201405 66538459@N00 Mystery Trip 2011 1324127520  37.807508-122.42617
6536200547 66538459@N00 Mystery Trip 2011 1324127520  37.807508-122.42617
6536199299 66538459@N00 Mystery Trip 2011 1324127400  37.807508-122.42617
6536197779 66538459@N00 Mystery Trip 2011 1324127340  37.807508-122.42617
6536196501 66538459@N00 Mystery Trip 2011 1324127280  37.807508-122.42617
6536195187 66538459@N00 Mystery Trip 2011 1324127280  37.807508-122.42617
6536193759 66538459@N00 Mystery Trip 2011 1324127220  37.807508-122.42617
6536192353 66538459@N00 Mystery Trip 2011 1324127220  37.807508-122.42617
6536191543 66538459@N00 Mystery Trip 2011 1324127160  37.807508-122.42617
6536191031 66538459@N00 Mystery Trip 2011 1324127160  37.807508-122.42617
6536189999 66538459@N00 Mystery Trip 2011 1324127160  37.807508-122.42617
6536188863 66538459@N00 Mystery Trip 2011 1324127100  37.807508-122.42617
6536187647 66538459@N00 Mystery Trip 2011 1324125960  37.807508-122.42617
6536186483 66538459@N00 Mystery Trip 2011 1324125720  37.807508-122.42617
6536185911 66538459@N00 Mystery Trip 2011 1324125660  37.807508-122.42617
6536184395 66538459@N00 Mystery Trip 2011 1324120440  37.810725-122.477364
6536182925 66538459@N00 Mystery Trip 2011 1324120200  37.810644-122.477362
6536181259 66538459@N00 Mystery Trip 2011 1324119840  37.810636-122.477359
6536179693 66538459@N00 Mystery Trip 2011 1324119840  37.810633-122.477362
6536178349 66538459@N00 Mystery Trip 2011 1324119600  37.81063-122.477378
6536177103 66538459@N00 Mystery Trip 2011 1324119060  37.808769-122.476912
6536175933 66538459@N00 Mystery Trip 2011 1324118460  37.807777-122.475223
6536174265 66538459@N00 Mystery Trip 2011 1324118220  37.807697-122.475145
6536173345 66538459@N00 Mystery Trip 2011 1324118040  37.807697-122.47515
6536172141 66538459@N00 Mystery Trip 2011 1324117320  37.8041-122.476959
6536170705 66538459@N00 Mystery Trip 2011 1324117260  37.803983-122.477048
6536169347 66538459@N00 Mystery Trip 2011 1324117140  37.803983-122.477056
6536167811 66538459@N00 Mystery Trip 2011 1324116900  37.803991-122.477181
6536166515 66538459@N00 Mystery Trip 2011 1324116840  37.803852-122.477326
6536165413 66538459@N00 Mystery Trip 2011 1324116840  37.803855-122.477326
6536165085 66538459@N00 Mystery Trip 2011 1324116780  37.803858-122.47732
6536164785 66538459@N00 Mystery Trip 2011 1324116780  37.803858-122.477312
6536164349 66538459@N00 Mystery Trip 2011 1324116780  37.803858-122.477312
6536162323 66538459@N00 Mystery Trip 2011 1324116660  37.803958-122.477187
6536160865 66538459@N00 Mystery Trip 2011 1324116540  37.803952-122.477075
6536160551 66538459@N00 Mystery Trip 2011 1324116540  37.803952-122.477075
6536160241 66538459@N00 Mystery Trip 2011 1324116540  37.803952-122.477075
6536159975 66538459@N00 Mystery Trip 2011 1324116540  37.803952-122.477075
6536159683 66538459@N00 Mystery Trip 2011 1324116480  37.80373-122.477189
6536158917 66538459@N00 Mystery Trip 2011 1324116420  37.803705-122.477217
6536158163 66538459@N00 Mystery Trip 2011 1324116360  37.803533-122.477289
6536156701 66538459@N00 Mystery Trip 2011 1324114800  37.79895-122.480687
6536155639 66538459@N00 Mystery Trip 2011 1324114800  37.798919-122.480528
6536154043 66538459@N00 Mystery Trip 2011 1324114740  37.798794-122.48035
6536152707 66538459@N00 Mystery Trip 2011 1324114560  37.798666-122.48025
6536152047 66538459@N00 Mystery Trip 2011 1324114560  37.798666-122.48025
6536150449 66538459@N00 Mystery Trip 2011 1324114560  37.798666-122.48025
6536149899 66538459@N00 Mystery Trip 2011 1324114440  37.798647-122.480273
6536148711 66538459@N00 Mystery Trip 2011 1324114440  37.798644-122.48027
6536147399 66538459@N00 Mystery Trip 2011 1324114380  37.798647-122.48027
6536146035 66538459@N00 Mystery Trip 2011 1324114380  37.798647-122.48027
6536144823 66538459@N00 Mystery Trip 2011 1324114380  37.798622-122.480337
6536144331 66538459@N00 Mystery Trip 2011 1324114380  37.798577-122.480362
6536143803 66538459@N00 Mystery Trip 2011 1324114320  37.798483-122.48035
6536142335 66538459@N00 Mystery Trip 2011 1324114260  37.798488-122.480309
6536141203 66538459@N00 Mystery Trip 2011 1324114200  37.798491-122.480331
6536139655 66538459@N00 Mystery Trip 2011 1324114200  37.798474-122.480403
6536138465 66538459@N00 Mystery Trip 2011 1324114140  37.798461-122.480364
6536137237 66538459@N00 Mystery Trip 2011 1324114080  37.798391-122.480525
6536136691 66538459@N00 Mystery Trip 2011 1324113960  37.797969-122.480509
6536135867 66538459@N00 Mystery Trip 2011 1324113900  37.797838-122.480134
6536135059 66538459@N00 Mystery Trip 2011 1324113840  37.797483-122.479484
6536133391 66538459@N00 Mystery Trip 2011 1324113660  37.796688-122.4795
6536132651 66538459@N00 Mystery Trip 2011 1324113660  37.796577-122.479556
6536131641 66538459@N00 Mystery Trip 2011 1324113600  37.796266-122.479712
6536130665 66538459@N00 Mystery Trip 2011 1324113600  37.796266-122.479717
6536129157 66538459@N00 Mystery Trip 2011 1324113600  37.796263-122.479717
6536128017 66538459@N00 Mystery Trip 2011 1324113540  37.796266-122.47972
6536127089 66538459@N00 Mystery Trip 2011 1324113540  37.796266-122.47972
6536126177 66538459@N00 Mystery Trip 2011 1324113540  37.796266-122.47972
6536124911 66538459@N00 Mystery Trip 2011 1324113480  37.796266-122.479723
6536123301 66538459@N00 Mystery Trip 2011 1324113180  37.796652-122.481325
6536121931 66538459@N00 Mystery Trip 2011 1324113120  37.796738-122.481628
6536120403 66538459@N00 Mystery Trip 2011 1324113060  37.796805-122.481931
6536119025 66538459@N00 Mystery Trip 2011 1324112880  37.795947-122.482609
6536117639 66538459@N00 Mystery Trip 2011 1324111920  37.791111-122.484064
6536116961 66538459@N00 Mystery Trip 2011 1324111200  37.790949-122.485334
